age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
37,Self-emp-not-inc,269329,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,8614,0,45,United-States
23,Private,211046,1st-4th,9,Never-married,Sales,Not-in-family,White,Female,2463,0,40,United-States
22,State-gov,113550,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
33,Self-emp-inc,118941,Masters,13,Divorced,Exec-managerial,Wife,White,Female,0,0,32,United-States
50,Federal-gov,189831,HS-grad,9,Married-spouse-absent,Craft-repair,Husband,White,Male,7298,0,50,United-States
47,Private,184945,Some-college,10,Separated,Other-service,Not-in-family,Black,Female,0,0,35,United-States
49,Private,390746,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1672,45,Ireland
46,Private,188293,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
28,Private,180313,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States
47,Private,162302,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,0,0,20,United-States
30,Private,35644,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,10,United-States
36,Self-emp-not-inc,193026,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,60,United-States
23,Self-emp-inc,300275,HS-grad,9,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,48,United-States
23,Self-emp-not-inc,216129,11th,10,Widowed,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
58,Self-emp-inc,201344,11th,13,Divorced,Craft-repair,Own-child,White,Female,0,0,20,Outlying-US(Guam-USVI-etc)
29,Self-emp-inc,173851,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
34,Self-emp-not-inc,527162,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States
32,Self-emp-not-inc,173314,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,60,United-States
51,Self-emp-not-inc,149220,Some-college,10,Married-spouse-absent,Farming-fishing,Husband,White,Male,0,0,75,United-States
64,Self-emp-not-inc,210464,Masters,14,Separated,Prof-specialty,Unmarried,Black,Male,0,0,40,United-States
21,Private,142332,5th-6th,8,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,25,United-States
54,Self-emp-inc,149650,9th,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,Japan
27,Local-gov,124680,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
26,Local-gov,102420,Bachelors,13,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,South
45,Self-emp-not-inc,145636,Masters,14,Widowed,Exec-managerial,Husband,White,Male,0,1977,43,United-States
66,Private,86321,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,0,0,22,Iran
19,Private,252862,Assoc-voc,11,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States
27,Private,188171,10th,6,Never-married,Adm-clerical,Own-child,White,Male,0,0,60,United-States
43,Private,245056,7th-8th,9,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States
53,Local-gov,68684,Some-college,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
29,Private,250967,12th,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
24,Self-emp-not-inc,385540,10th,9,Married-civ-spouse,Sales,Unmarried,White,Male,0,0,40,Mexico
50,Private,143664,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
27,Private,85126,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States
35,Federal-gov,20469,Some-college,10,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines
20,Private,107882,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States
36,Without-pay,58343,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Male,3103,0,42,United-States
38,Self-emp-not-inc,33105,Assoc-acdm,13,Married-civ-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,0,0,70,United-States
39,Self-emp-inc,113749,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
50,State-gov,174655,Some-college,10,Widowed,Sales,Husband,White,Male,0,0,45,Scotland
53,Private,161482,12th,13,Separated,Adm-clerical,Not-in-family,White,Female,0,0,50,Canada
49,Private,189462,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States
34,State-gov,450141,1st-4th,13,Widowed,Exec-managerial,Husband,White,Male,15024,0,35,United-States
25,Private,476334,HS-grad,9,Separated,Sales,Husband,White,Male,0,0,48,United-States
60,Private,127712,Assoc-voc,11,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,45,Poland
21,Without-pay,72119,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States
31,State-gov,557853,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,47,United-States
33,Local-gov,136331,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
33,Without-pay,33727,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
31,Private,175778,Assoc-acdm,12,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States
57,Private,348430,HS-grad,2,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,Portugal
39,Private,347814,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,0,56,United-States
61,State-gov,208919,Masters,14,Never-married,Sales,Husband,White,Female,0,0,60,United-States
27,Federal-gov,279608,HS-grad,3,Never-married,Farming-fishing,Husband,White,Male,0,0,40,Mexico
45,Private,324655,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
50,Self-emp-inc,168672,10th,14,Widowed,Prof-specialty,Wife,White,Female,0,1902,40,Vietnam
49,Self-emp-inc,65535,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
46,Self-emp-not-inc,82572,HS-grad,9,Married-spouse-absent,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States
47,Self-emp-not-inc,258498,Assoc-voc,10,Married-AF-spouse,Other-service,Wife,White,Female,0,0,52,United-States
56,Private,76281,Prof-school,13,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
42,Private,111589,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,United-States
17,State-gov,271837,5th-6th,10,Never-married,Craft-repair,Own-child,White,Male,0,0,16,United-States
28,Private,50814,HS-grad,9,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
53,Self-emp-not-inc,170050,Assoc-acdm,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
27,Private,54897,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
32,Private,137367,Masters,7,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,India
37,Private,255454,1st-4th,4,Married-AF-spouse,Machine-op-inspct,Husband,Black,Female,7298,0,35,Haiti
35,Private,233533,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,42,United-States
37,Self-emp-inc,353550,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Female,15024,0,60,United-States
46,Self-emp-not-inc,27802,Prof-school,12,Widowed,Tech-support,Husband,White,Female,0,0,38,United-States
42,Private,256448,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,15,United-States
33,State-gov,160261,Bachelors,13,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines
26,Private,289980,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,30,Mexico
32,Federal-gov,74501,Prof-school,14,Never-married,Sales,Own-child,White,Female,0,0,50,United-States
31,Without-pay,31286,Bachelors,11,Married-AF-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
30,Federal-gov,195337,HS-grad,9,Never-married,Adm-clerical,Unmarried,Other,Female,1506,0,45,United-States
51,Federal-gov,291755,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,42,United-States
45,Local-gov,102359,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States
