ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
2759,200000,A,B,C,23,D,I,J,A,J,J,488,878,488,488,0,1915,878,488,488,0,1915,100,A
11338,120000,B,B,C,38,A,A,A,A,A,A,52234,39644,19920,9155,14155,3867,1575,1800,1500,14000,4000,2850,A
23150,280000,B,C,C,37,K,K,J,J,J,A,1876,2716,1876,1876,1876,1870,2716,1876,1876,1876,1870,10267,A
19040,30000,A,<nil>,A,26,A,A,A,K,A,A,13890,15374,16141,15593,15908,16757,2000,1300,0,564,1100,1000,B
10803,450000,A,D,D,30,<nil>,A,<nil>,K,A,A,46244,32387,30976,29455,30012,20109,1599,1311,2000,1000,2000,647,B
3290,270000,A,C,B,41,K,K,K,K,I,I,832,416,832,416,566,416,0,832,0,566,416,416,A
26137,600000,B,<nil>,C,36,J,J,J,J,J,A,53838,528,1191,11390,8680,38018,530,3000,11500,8680,38020,56700,A
20586,400000,B,B,C,30,A,A,A,A,A,A,162540,155319,171087,172732,156830,139816,10000,32000,18000,5000,4000,10000,A
4756,50000,A,<nil>,C,25,C,B,A,A,A,A,1789,50005,48731,46882,500,0,48731,0,2102,0,0,0,A
19697,470000,B,B,C,37,A,A,A,A,A,A,163000,160298,135683,128719,116173,104283,10047,5001,6010,4512,4012,3522,A
23991,60000,A,C,C,26,A,A,A,A,A,A,59487,59199,59326,58938,30101,29735,2113,2500,3000,2500,1500,1100,A
19512,210000,B,C,C,29,A,A,A,A,A,A,199251,205143,192260,168511,144980,153706,9025,8507,5740,5128,11000,0,A
25021,160000,B,D,C,61,A,<nil>,J,J,J,A,390,390,390,780,390,390,390,390,780,0,390,390,A
22205,350000,A,C,C,25,A,A,A,C,A,A,327915,342405,344459,351335,143291,98042,20000,9000,15076,5000,4000,4000,B
26101,260000,B,C,C,37,A,A,A,A,A,A,182249,181433,180660,179052,177072,175285,6107,6501,6005,5805,5909,6106,A
2447,80000,B,C,C,44,A,A,A,A,A,A,17047,11885,8254,5144,15365,2250,1435,1350,5144,15365,2250,2690,A
18874,80000,B,E,C,23,A,A,<nil>,A,A,A,50456,30342,27591,28166,28330,28524,1432,1476,1441,995,1021,1138,A
13168,210000,A,B,C,30,J,A,A,A,A,A,0,855,855,855,855,599,855,0,0,0,599,0,A
1872,50000,B,D,C,26,A,A,A,A,A,A,41003,42032,42699,43617,44509,45420,1733,1400,1300,1271,1300,4500,A
19673,20000,B,C,C,34,A,A,A,A,A,A,5185,6547,8879,10926,17536,2090,2000,3000,3000,7000,2090,0,A
17224,20000,B,B,C,26,A,A,A,A,A,A,17040,16474,17203,18411,18929,19171,0,1300,1500,824,696,1011,A
11974,20000,A,C,C,23,A,A,A,J,A,A,16575,17629,18552,15562,16308,17034,1327,1250,800,1000,1000,1000,A
