Status of existing checking account,Duration,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate,personal status,Other debtors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits,Job,Number of people,Telephone,foreign worker
A14,10.0,A34,A49,2069.0,A65,A73,2.0,A91,A101,1.0,A123,26.0,A143,A152,2.0,A173,1.0,A191,A202
A12,48.0,A33,A43,7238.0,A62,A75,3.0,A93,A101,3.0,A124,32.0,A141,A152,2.0,A171,2.0,A191,A201
A13,18.0,A33,missing,3049.0,A61,missing,1.0,A91,missing,1.0,A122,45.0,A142,A152,1.0,A172,1.0,missing,A201
A12,15.0,A32,A40,2631.0,A61,A73,2.0,A92,A101,4.0,A121,28.0,A143,A151,2.0,A173,1.0,A192,A201
A12,30.0,A34,missing,3441.0,A61,missing,2.0,A93,missing,4.0,A124,21.0,A142,A153,1.0,A173,1.0,missing,missing
A14,24.0,A32,A43,2284.0,A61,A73,4.0,A92,A101,2.0,A121,28.0,A143,A152,1.0,A173,1.0,A192,A201
A12,18.0,A34,missing,1049.0,A61,missing,4.0,A92,A101,4.0,A124,21.0,A143,A151,1.0,A173,1.0,missing,A201
A11,24.0,A32,missing,4169.0,missing,A73,4.0,missing,A101,4.0,A122,28.0,A143,A152,1.0,A173,1.0,missing,A201
A12,27.0,A34,A41,5965.0,A64,missing,1.0,A93,A101,2.0,missing,30.0,A143,A152,2.0,A174,1.0,missing,A201
A11,15.0,missing,missing,6850.0,A61,missing,1.0,A91,A101,2.0,missing,34.0,A143,A152,1.0,A171,2.0,missing,A201
A11,6.0,A33,A40,1361.0,A61,A75,2.0,A92,A101,4.0,A121,40.0,A141,A152,1.0,A172,2.0,A191,A202
A14,18.0,A34,A41,1817.0,A62,A71,4.0,A92,A101,2.0,A124,28.0,A143,A152,2.0,A173,1.0,A191,A201
A14,24.0,A34,A43,1940.0,A64,A73,4.0,A93,A101,4.0,A121,60.0,A143,A152,1.0,A173,1.0,A192,A201
A14,10.0,A33,A40,1231.0,A61,A75,3.0,A93,A101,4.0,A121,32.0,A143,A152,2.0,A172,2.0,A191,A202
A14,6.0,A34,A43,1554.0,A61,A74,1.0,A92,A101,2.0,A123,24.0,A142,A151,2.0,A173,1.0,A191,A201
A14,18.0,A34,A43,629.0,missing,missing,4.0,A93,A101,3.0,A122,32.0,A141,A151,2.0,A174,1.0,missing,A201
A11,15.0,missing,A41,1478.0,missing,missing,4.0,missing,A101,3.0,A121,33.0,A141,A152,2.0,A173,1.0,missing,A201
A14,45.0,A32,A49,11816.0,A64,A73,2.0,A91,A101,4.0,A121,29.0,A143,A151,2.0,A173,1.0,A191,A201
A11,6.0,A32,A40,1203.0,A62,A75,3.0,A91,A101,2.0,A122,43.0,A143,A152,1.0,A172,1.0,A191,A201
A12,7.0,A32,A43,2576.0,A62,A73,2.0,A92,A103,2.0,A121,35.0,A143,A152,1.0,A173,1.0,A191,A201
A12,24.0,A32,A41,12579.0,A61,A75,4.0,A92,A101,2.0,A124,44.0,A143,A153,1.0,A174,1.0,A191,A201
A14,30.0,A34,A43,7596.0,A65,A74,1.0,A92,A101,4.0,A123,63.0,A143,A152,2.0,A173,1.0,A191,A202
A14,15.0,A33,A49,960.0,A64,A74,3.0,A92,A101,2.0,A122,30.0,A143,A152,2.0,A173,1.0,A191,A201
A12,48.0,A33,A41,3979.0,A65,A73,4.0,A93,A103,1.0,A123,41.0,A143,A152,2.0,A173,2.0,A191,A201
A14,24.0,A34,A43,2058.0,A61,A73,4.0,A91,A101,2.0,A121,33.0,A142,A152,2.0,A173,1.0,A192,A201
A11,18.0,A32,A49,3650.0,A61,A74,1.0,A92,A101,4.0,A123,22.0,A143,A151,1.0,A173,1.0,A191,A201
A11,24.0,A32,A40,1755.0,A61,A75,4.0,A92,A103,4.0,A121,58.0,A143,A152,1.0,A172,1.0,A191,A201
A12,15.0,A34,A43,1537.0,A62,A73,4.0,A92,A103,4.0,A121,50.0,A142,A152,2.0,A171,1.0,A191,A201
A14,12.0,A34,A43,1493.0,A61,A74,4.0,A91,A101,3.0,A123,34.0,A143,A153,1.0,A174,2.0,A191,A201
A12,48.0,missing,missing,12169.0,missing,missing,4.0,A93,missing,4.0,A124,36.0,A143,A153,1.0,A174,1.0,missing,A201
A11,47.0,A32,missing,10722.0,missing,missing,1.0,missing,A101,1.0,A121,35.0,A143,A151,1.0,A172,1.0,A192,A201
A12,18.0,A32,A49,1239.0,A65,A73,4.0,A93,A101,4.0,A124,61.0,A143,A153,1.0,A173,1.0,A191,A201
A14,10.0,missing,missing,727.0,missing,missing,4.0,A92,missing,4.0,A124,46.0,A141,A153,1.0,A172,1.0,missing,A201
A11,11.0,A34,A40,3905.0,A61,A75,2.0,A93,A101,2.0,A121,36.0,A143,A151,2.0,A174,2.0,A191,A201
A14,6.0,A32,missing,4611.0,A62,missing,1.0,A93,A101,4.0,A122,32.0,A143,A152,1.0,A174,1.0,missing,missing
A12,12.0,A32,A43,1567.0,A61,A73,1.0,A91,A101,1.0,A121,22.0,A143,A152,1.0,A173,1.0,A192,A201
A11,21.0,missing,missing,1647.0,A64,missing,4.0,A91,A101,2.0,A121,40.0,A141,A152,2.0,A172,2.0,missing,missing
A13,36.0,A33,missing,3446.0,A62,missing,4.0,A91,missing,2.0,missing,42.0,A143,A152,1.0,A171,2.0,missing,missing
A14,24.0,A32,A41,9277.0,A61,A73,2.0,A93,A101,4.0,A124,48.0,A143,A153,1.0,A173,1.0,A192,A201
A12,48.0,missing,missing,12204.0,A61,missing,2.0,A93,A101,2.0,missing,48.0,A141,A152,1.0,A171,1.0,missing,A201
A14,24.0,A33,A43,2978.0,A61,A73,4.0,A93,A101,4.0,A121,32.0,A143,A152,2.0,A173,2.0,A192,A201
A14,24.0,A32,A41,5433.0,missing,missing,2.0,A92,A101,4.0,A122,26.0,A143,A151,1.0,A171,1.0,missing,A201
A12,15.0,A33,A41,1514.0,A62,A73,4.0,A93,A103,2.0,A121,22.0,A143,A152,1.0,A173,1.0,A191,A201
A12,36.0,A33,A40,8086.0,A62,A75,2.0,A93,A101,4.0,A124,42.0,A143,A152,4.0,A174,1.0,A191,A201
A11,24.0,A32,missing,1333.0,missing,missing,4.0,A92,missing,2.0,A122,43.0,A143,A153,2.0,A174,2.0,missing,A201
A14,9.0,A32,missing,1388.0,missing,A73,4.0,A93,A101,2.0,A121,26.0,A143,A151,1.0,A173,1.0,missing,A201
A14,9.0,A32,missing,1980.0,A61,missing,2.0,A92,missing,2.0,missing,19.0,A143,A151,2.0,A173,1.0,missing,A201
A11,12.0,A33,A49,2577.0,A61,A73,2.0,A91,A101,1.0,A123,42.0,A143,A152,1.0,A173,1.0,A191,A201
A14,24.0,A32,missing,6314.0,A61,missing,4.0,A93,missing,2.0,A124,27.0,A143,A151,2.0,A174,1.0,missing,A201
A14,6.0,A34,missing,2080.0,missing,missing,1.0,missing,missing,2.0,missing,24.0,A143,A152,1.0,A173,1.0,missing,missing
A11,18.0,A33,missing,2039.0,A61,missing,1.0,A92,A101,4.0,A121,20.0,A141,A151,1.0,A173,1.0,missing,missing
A14,15.0,A32,A49,874.0,A65,A74,4.0,A92,A101,1.0,A121,24.0,A143,A152,1.0,A173,1.0,A191,A201
A11,6.0,missing,missing,1957.0,A61,missing,1.0,A92,A101,4.0,A124,31.0,A143,A153,1.0,A173,1.0,missing,missing
A12,10.0,A34,A40,7308.0,A61,A71,2.0,A93,A101,4.0,A124,70.0,A141,A153,1.0,A172,1.0,A192,A201
A13,24.0,A32,A41,1925.0,A61,A73,2.0,A91,A101,2.0,A121,26.0,A143,A152,1.0,A173,1.0,A191,A201
A12,24.0,A32,missing,1355.0,A61,missing,3.0,A92,A101,4.0,missing,25.0,A143,A152,1.0,A172,1.0,missing,A201
A11,12.0,A32,missing,795.0,A62,missing,4.0,A91,A101,4.0,missing,53.0,A143,A152,1.0,A172,1.0,missing,missing
A13,30.0,A34,A43,3017.0,A61,A71,4.0,A92,A101,4.0,A122,47.0,A143,A152,1.0,A173,1.0,A191,A201
A11,48.0,A33,A49,7685.0,A61,A74,2.0,A92,A103,4.0,A123,37.0,A143,A151,1.0,A173,1.0,A191,A201
A11,12.0,missing,missing,2292.0,A61,missing,4.0,A92,A101,2.0,A124,42.0,A141,A152,2.0,A172,1.0,missing,missing
A11,36.0,A32,missing,1977.0,missing,missing,4.0,A93,A101,4.0,A124,40.0,A143,A152,1.0,A174,1.0,missing,A201
A14,36.0,A32,A43,7855.0,A61,A73,4.0,A93,A101,2.0,A122,25.0,A143,A152,2.0,A173,1.0,A192,A201
A14,18.0,A34,A40,2775.0,A61,A75,2.0,A93,A101,2.0,A122,31.0,A141,A152,2.0,A173,1.0,A191,A201
A13,21.0,A34,A40,2353.0,A61,A75,1.0,A91,A101,4.0,A122,47.0,A143,A153,2.0,A173,1.0,A191,A201
A14,18.0,A33,A43,1820.0,A61,A73,2.0,A91,A101,2.0,A122,30.0,A143,A152,1.0,A174,1.0,A192,A201
A14,12.0,missing,A41,2445.0,missing,missing,2.0,A91,A101,4.0,missing,26.0,A141,A151,1.0,A173,1.0,missing,A201
A11,12.0,A32,A41,1680.0,A62,A73,3.0,A93,A101,1.0,A124,35.0,A143,A152,1.0,A173,1.0,A191,A201
A11,18.0,A33,A49,8471.0,A65,A73,1.0,A92,A101,2.0,A123,23.0,A143,A151,2.0,A173,1.0,A191,A201
A12,26.0,A33,A41,7966.0,A64,A74,2.0,A93,A101,3.0,A123,30.0,A143,A152,2.0,A173,1.0,A191,A201
A11,12.0,A32,A41,3386.0,A61,A75,3.0,A93,A101,4.0,A124,35.0,A143,A153,1.0,A173,1.0,A191,A201
A13,12.0,missing,missing,939.0,A64,missing,4.0,missing,A101,2.0,A121,28.0,A141,A152,3.0,A171,1.0,missing,missing
A14,12.0,A32,A41,797.0,A62,A73,4.0,A93,A101,3.0,A121,33.0,A141,A152,1.0,A174,2.0,A191,A201
A11,24.0,A34,missing,1747.0,A61,missing,4.0,missing,missing,1.0,A122,24.0,A143,A152,1.0,A171,1.0,missing,missing
A12,12.0,missing,missing,1108.0,missing,missing,4.0,A92,missing,3.0,A122,28.0,A142,A153,2.0,A173,1.0,missing,A201
A12,13.0,A32,A43,2101.0,A61,A71,2.0,A92,A103,4.0,A122,23.0,A143,A152,1.0,A172,1.0,A191,A201
A11,24.0,A32,A41,6579.0,A62,A71,4.0,A93,A101,2.0,A124,29.0,A143,A151,1.0,A174,1.0,A191,A201
A14,48.0,A33,A43,12749.0,A65,A74,4.0,A93,A101,1.0,A123,37.0,A143,A152,1.0,A174,1.0,A191,A201
A14,12.0,A34,A43,522.0,A61,A73,4.0,A93,A101,4.0,A122,42.0,A143,A152,2.0,A171,2.0,A192,A201
A11,24.0,missing,missing,2828.0,missing,A73,4.0,A93,A101,4.0,A121,22.0,A142,A152,1.0,A173,1.0,missing,A201
A14,24.0,A33,A43,2718.0,A64,A73,3.0,A91,A101,4.0,A121,20.0,A141,A151,1.0,A173,1.0,A192,A201
A13,10.0,A33,A40,1240.0,A62,A75,1.0,A92,A101,4.0,A124,48.0,A143,A151,1.0,A172,2.0,A191,A201
A12,12.0,A32,A43,1318.0,A64,A73,4.0,A91,A101,4.0,A121,54.0,A143,A153,1.0,A173,1.0,A192,A201
A11,48.0,A32,A49,4308.0,A61,A74,3.0,A92,A101,4.0,A122,24.0,A143,A151,1.0,A173,1.0,A191,A201
A11,12.0,A32,A41,2578.0,A62,A71,3.0,A92,A101,4.0,A124,55.0,A143,A153,1.0,A174,1.0,A191,A201
A14,24.0,A34,A43,1311.0,missing,missing,4.0,A92,A101,3.0,A122,26.0,A143,A152,1.0,A173,1.0,missing,missing
A11,30.0,A34,A41,6187.0,A62,A71,1.0,A93,A103,4.0,A124,24.0,A143,A151,2.0,A173,1.0,A191,A201
A12,18.0,A33,A43,6204.0,A61,A73,2.0,A93,A101,4.0,A121,44.0,A143,A152,1.0,A172,2.0,A192,A201
A12,6.0,A33,A43,1068.0,A61,A75,4.0,A93,A101,4.0,A124,28.0,A143,A152,1.0,A173,2.0,A191,A201
A12,11.0,A32,A40,1577.0,A64,A75,4.0,A93,A101,1.0,A121,20.0,A143,A152,1.0,A173,1.0,A191,A201
A14,24.0,A34,A49,1585.0,A65,A74,4.0,A93,A101,3.0,A124,40.0,A143,A152,2.0,A173,1.0,A191,A201
A11,18.0,missing,missing,1940.0,A62,missing,3.0,A93,missing,4.0,A124,36.0,A141,A153,1.0,A174,1.0,missing,A201
A13,24.0,A32,A43,4241.0,A62,A73,1.0,A91,A101,4.0,A121,36.0,A141,A152,3.0,A171,1.0,A192,A201
A13,6.0,A34,A40,1299.0,A61,A73,1.0,A93,A101,1.0,A121,74.0,A143,A152,3.0,A171,2.0,A191,A202
A14,24.0,A32,A41,1469.0,A62,A73,4.0,A92,A101,4.0,A121,41.0,A143,A153,1.0,A172,1.0,A191,A201
A13,28.0,A34,A40,2743.0,A61,A75,4.0,A93,A101,2.0,A124,29.0,A143,A152,2.0,A173,1.0,A191,A201
A14,12.0,A33,A41,1963.0,A62,A74,4.0,A92,A101,2.0,A123,31.0,A143,A151,2.0,A174,2.0,A191,A201
A14,48.0,A32,missing,5096.0,A62,missing,2.0,A93,A101,3.0,missing,30.0,A141,A152,1.0,A174,1.0,missing,A201
A14,12.0,A32,A40,2579.0,A64,A73,4.0,A92,A103,1.0,A121,33.0,A142,A152,1.0,A171,2.0,A191,A201
A14,36.0,A33,A49,7678.0,A62,A74,2.0,A92,A101,4.0,A123,40.0,A143,A152,2.0,A173,1.0,A191,A201
A12,30.0,A34,A43,2181.0,A62,A71,4.0,A93,A101,4.0,A121,36.0,A141,A152,2.0,A173,1.0,A191,A201
A14,6.0,A34,A41,1538.0,A61,A71,1.0,A92,A101,2.0,A124,56.0,A143,A152,1.0,A173,1.0,A191,A201
A11,6.0,A34,A43,338.0,A64,A75,4.0,A93,A101,4.0,A124,52.0,A143,A152,2.0,A173,1.0,A191,A201
A14,39.0,missing,missing,11760.0,A62,A73,2.0,A91,A101,3.0,A124,32.0,A143,A151,1.0,A173,1.0,missing,A201
A11,24.0,missing,missing,4736.0,missing,missing,2.0,A93,A101,4.0,A121,25.0,A143,A151,1.0,A171,1.0,missing,missing
A13,24.0,A33,A40,2892.0,A61,A75,3.0,A91,A101,4.0,A124,51.0,A143,A151,1.0,A173,1.0,A191,A201
A11,6.0,A32,A41,1740.0,A64,A75,2.0,A93,A101,2.0,A121,30.0,A142,A151,2.0,A173,1.0,A191,A201
A12,36.0,A33,A49,9857.0,A62,A74,1.0,A93,A101,3.0,A122,31.0,A143,A153,2.0,A172,2.0,A191,A202
